row_id,x,y,accuracy,time,place_id
600,1.2214,2.7023,17,65380,6683426742
957,1.1832,2.6891,58,785470,6683426742
4345,1.1935,2.655,11,400082,6889790653
4735,1.1452,2.6074,49,514983,6822359752
5580,1.0089,2.7287,19,732410,1527921905
6090,1.114,2.6262,11,145507,4000153867
6234,1.1449,2.5003,34,316377,3741484405
8478,1.2015,2.5187,72,690722,3992589015
9357,1.1916,2.7323,170,319999,5163401947
12125,1.1388,2.5029,69,532507,7536975002
14937,1.1426,2.7441,11,445598,6780386626
20660,1.2387,2.5959,65,616095,3683087833
20930,1.0519,2.5208,67,163908,6399991653
21731,1.2171,2.7263,99,550339,8048985799
26584,1.1235,2.6282,63,316089,5606572086
27937,1.1287,2.6332,588,618714,5606572086
30798,1.0422,2.6474,49,75510,1435128522
33184,1.0128,2.5865,75,487899,1913341282
33877,1.1437,2.6972,972,140281,6683426742
34340,1.1513,2.5824,176,309820,2355236719
37405,1.2122,2.7106,10,315301,2946102544
38968,1.1496,2.6298,166,636960,9598377925
41861,1.0886,2.6839999999999997,10,11616,3312463746
42135,1.0498,2.6839999999999997,5,95801,3312463746
42729,1.0694,2.5829,10,57817,1812226671
44283,1.2384,2.7398,60,629289,8048985799
44549,1.2077,2.537,76,522601,3992589015
44694,1.038,2.5315,152,657007,5035268417
45880,1.1256,2.6468,54,91641,5606572086
47291,1.1058,2.6628,34,466723,6237569496
48280,1.1531,2.6622,165,242227,5270522918
49695,1.1262,2.541,91,163940,4932578245
50254,1.1992,2.5035,5,767819,5392071818
50271,1.0577,2.7274,34,530732,6424972551
50497,1.0442,2.5933,58,273204,3322359335
59725,1.0254,2.5926,65,674407,1097200869
62781,1.0159,2.5692,79,436175,1097200869
63005,1.1669,2.5182,73,393253,7064318248
63742,1.0054,2.7381,70,759783,6424972551
64508,1.1216,2.5392,268,635661,7803770431
66583,1.1317,2.6425,178,326118,5606572086
69247,1.0349,2.7361,59,610847,6424972551
69412,1.0371,2.7308,112,329039,6424972551
79270,1.195,2.5842,76,548458,4022692381
79915,1.101,2.5473,174,762732,4932578245
82065,1.04,2.6124,166,689198,5283227804
82791,1.2264,2.7481,7,195021,6780386626
83494,1.2462,2.6630000000000003,73,374791,6603539415
84991,1.0749,2.5814,18,67953,1812226671
87039,1.2428,2.5868,68,561374,6766324666
87312,1.0438,2.5872,3,23023,1097200869
87477,1.2387,2.5881,56,557217,6766324666
87614,1.0619,2.5169,10,174442,7047598152
88147,1.0189,2.6175,60,330482,7098464262
89210,1.1979,2.5138,65,128173,3992589015
93237,1.1818,2.522,60,145522,3992589015
94695,1.0313,2.5734,66,172502,1097200869
95086,1.2295,2.7407,175,294444,6780386626
99210,1.1653,2.5471,64,500669,2355236719
101745,1.0581,2.5209,63,764333,6399991653
101854,1.0548,2.6722,64,487447,9632980559
104995,1.1324,2.6292,63,516754,5606572086
106345,1.0756,2.569,198,279837,1285051622
110126,1.2195,2.7001,66,542327,6683426742
111416,1.0294,2.7449,96,733146,7175032540
111855,1.2358,2.7319,20,729408,6780386626
112761,1.1336,2.6218,70,45908,5606572086
113038,1.0772,2.6533,24,724856,5270522918
116062,1.2266,2.6778,77,274864,3952821602
116295,1.1013,2.6504,26,341207,5270522918
117510,1.1783,2.6998,60,386334,6683426742
117576,1.1839,2.52,78,676199,3992589015
119024,1.1265,2.6749,3,79618,2215268322
120594,1.2304,2.6924,50,621239,8258328058
121669,1.235,2.7188,56,57567,8048985799
121729,1.2324,2.6027,69,497734,7551043473
122225,1.0599,2.5737,27,745905,3014718150
122916,1.0598,2.6816,57,154868,3312463746
125753,1.1492,2.7446,63,38143,5009192468
127552,1.0591,2.6677,64,552363,9632980559
128527,1.2453,2.6673,72,512072,8258328058
129354,1.0858,2.6065,57,743268,6861654717
131488,1.2009999999999998,2.7465,65,611519,8048985799
131654,1.0018,2.5894,174,363624,1913341282
132786,1.0247,2.6125,65,763845,1097200869
137095,1.0146,2.7419,72,416431,7540483733
137364,1.2481,2.7293,26,538969,8048985799
137410,1.1225,2.5422,55,83658,7803770431
137746,1.0571,2.5845,68,41018,1097200869
138118,1.2452,2.6243,67,572662,5987464133
140179,1.1357,2.6168,10,153560,5606572086
142570,1.0329,2.7146,73,163901,3188512868
144017,1.1751,2.5694,66,538859,2355236719
144047,1.2481,2.6894,72,594199,9168423783
148197,1.2452,2.7439,165,297287,6780386626
149615,1.2207,2.7177,21,130628,2946102544
153973,1.0397,2.6503,76,103794,1435128522
155550,1.2082,2.6214,74,169374,5987464133
158278,1.2397,2.5885,38,707029,6766324666
164649,1.149,2.694,66,740971,2215268322
165027,1.2242,2.7454,69,169740,3083446565
165876,1.2246,2.7157,13,222123,6829001048
165990,1.242,2.7279,74,85565,8048985799
166735,1.2275,2.532,6,165319,1267801529
166776,1.0792,2.5810000000000004,8,47868,1097200869
167218,1.1312,2.5351,22,71347,4932578245
168150,1.0897,2.6295,71,133821,4423196276
170405,1.1773,2.6932,19,67963,6683426742
171005,1.0016,2.6039999999999996,69,38142,1097200869
171136,1.2096,2.5340000000000003,6,193430,7803770431
171294,1.1683,2.6597,64,680418,5261906348
173558,1.1545,2.7328,58,13780,5009192468
177817,1.0588,2.5931,10,550623,1097200869
180578,1.0018,2.6687,47,397538,9237487147
181518,1.1793,2.6803,46,171919,3951163044
185640,1.1908,2.5922,15,85095,3322359335
185861,1.2406,2.7452,161,621005,7251559978
186300,1.1855,2.6503,71,655544,6502303487
188713,1.0124,2.5865,63,242279,1097200869
192261,1.0671,2.6618,71,68737,9632980559
192593,1.0170000000000001,2.6978,24,115178,3312463746
193341,1.2492,2.645,58,142250,7707808405
197245,1.2236,2.6037,65,143890,3683087833
199584,1.2343,2.5787,65,604879,3683087833
200129,1.236,2.6693,2,187082,3533177779
200152,1.2427,2.6175,102,616131,7707808405
201104,1.0569,2.6727,66,195598,3312463746
202507,1.1016,2.5367,11,255822,4932578245
208134,1.001,2.6587,64,511498,6237569496
209369,1.1659,2.5663,67,705918,2355236719
210446,1.1693,2.5185,269,546911,3992589015
215164,1.0274,2.5317,65,154944,6399991653
216421,1.2324,2.7454,19,64841,8048985799
216965,1.1942,2.7038,71,586579,6683426742
218665,1.236,2.5801,44,601984,3683087833
219649,1.1012,2.5478,10,123571,4932578245
220900,1.0882,2.7185,70,512412,2460093296
222945,1.1902,2.6574,73,142336,3952821602
224960,1.1835,2.5715,63,189734,2355236719
226003,1.1349,2.7489,70,90990,5009192468
233395,1.0931,2.6054,46,78292,5491139741
242268,1.068,2.7032,57,16824,2460093296
242938,1.1079,2.6537,488,622527,5270522918
245973,1.1889,2.6526,16,773796,6502303487
249194,1.1244,2.6027,6,166693,4423196276
252424,1.1945,2.6830000000000003,21,407977,3533177779
254836,1.181,2.6666,171,4845,5270522918
255886,1.0998,2.6686,4,109503,5270522918
255894,1.0208,2.6807,69,659737,3312463746
260026,1.2273,2.5109,170,209896,7536975002
260519,1.0747,2.7077,52,129049,2460093296
263068,1.0244,2.7403,23,159190,4614293027
264263,1.103,2.6821,845,130299,2215268322
266375,1.1341,2.5443,872,592324,7803770431
268128,1.2064,2.6891,170,250859,6683426742
269195,1.1952,2.6964,161,484230,2215268322
271465,1.0821,2.5939,165,679716,6861654717
275623,1.1813,2.6237,973,394783,5491139741
276048,1.0235,2.532,24,475813,1228935308
279321,1.0612,2.6992,66,114393,3312463746
279365,1.0612,2.7422,60,747754,5911788013
281468,1.2069,2.7277,199,355302,6829001048
281481,1.0357,2.5829,94,753335,1097200869
283844,1.1798,2.5768,72,345014,2355236719
285612,1.2253,2.7143,74,538957,8048985799
286777,1.0034,2.6923,10,16833,2460093296
287391,1.0429,2.6517,11,102750,5270522918
287993,1.0768,2.6417,50,542691,7914558846
289562,1.1101,2.5864,70,17456,1812226671
290396,1.1988,2.5259,46,609078,3992589015
295612,1.1274,2.5905,10,118613,2355236719
299137,1.0385,2.628,70,771825,4496840916
300536,1.0494,2.6806,64,233293,3312463746
304429,1.1817,2.5660000000000003,39,628237,2355236719
305711,1.1928,2.6084,172,103270,7551043473
307736,1.1781,2.513,7,525120,3992589015
308338,1.1217,2.6268,65,102443,7098464262
310248,1.0297,2.5466,36,451675,4932578245
312067,1.0275,2.5864,68,453358,1913341282
312948,1.2412,2.737,60,761542,8094036741
314320,1.0486,2.6134,55,502775,3333445626
315325,1.022,2.6672,58,575151,3312463746
